"","keyword","video","parent_video","current_depth","title","width","height","duration","pubdate","channel","likes","dislikes","viewes","rating","reco_count","fetch_time","reco_list","elapsed","recoveredChannel","channel_title","Bias","positive","negative","sentiment","sentiment_ratio","lgpp","nrc_el","topic","Flesch","ARI","Flesch.Kincaid"
"595","Lindsey Graham","5xs2BSGe8Wg","ZtgnIXnvxlw",5,"Viewers call into C-SPAN to roast Brian Stelter on air - YouTube",1920,1080,401,"2021-06-10","UCXIJgqnII2ZOINSWNOGFThA",717,6,6890,4.966805,0,"2021-06-11 00:58:42","",6.275906,"UCXIJgqnII2ZOINSWNOGFThA","Fox News","R",35,30,"positive",1.16666666666667,"INSTITUTIONS","trust","military",67.8326100946952,6.8348617495633,7.85456145996139
"596","Lindsey Graham","HXXoO0FwUKQ","kGSs6oPvsJs",5,"How I Hacked The US Government Aged 16 | Minutes With | @LADbible TV - YouTube",1920,1080,856,"2021-05-30","UC4oVjJptcsvtgIMrdIUQYlQ",-1,130,339560,4.9471278,0,"2021-06-11 01:00:21","",0.58415,"UC4oVjJptcsvtgIMrdIUQYlQ","LADbible TV","",73,114,"negative",0.640350877192982,"INSTITUTIONS","anticipation","military",-2510.72233294256,1278.10452520516,999.181625635014
"597","Lindsey Graham","SzAd8YTgLYQ","D9o4D25Zp3w",5,"Woman records on her phone as strange man stalks her through downtown Vancouver - YouTube",1920,1080,119,"2021-03-19","UChLtXXpo4Ge1ReTEboVvTDg",-1,-1,3794056,4.889257,0,"2021-06-11 01:04:53","",2.524506,"UChLtXXpo4Ge1ReTEboVvTDg","Global News","LC",9,4,"positive",2.25,"LAW_AND_ORDER","trust","military",-280.225753424657,181.277835616438,143.021369863014
"598","Lindsey Graham","x_g07nKDsQc","kzYlCNavlyA",4,"Dale Jr. and Ward Burton Finally Hash Out 2002 Bristol Incident - YouTube",1920,1080,602,"2021-06-10","UCB2r6UX0EJn-i1cgMVqbirg",-1,8,25225,4.981009,5,"2021-06-11 01:05:06","JI0ATY2E_nk,ck9_6FL5pyo,4TwEA6sPYLs,dJ7Y1aZmIdc,bqcrH1z4yKM",2.190026,"UCB2r6UX0EJn-i1cgMVqbirg","Dale Earnhardt Jr.'s Dirty Mo Media","",55,55,"positive",1,"URBAN","joy","politics",-1813.19102591222,941.291015335801,735.940190375463
"599","Lindsey Graham","4TwEA6sPYLs","x_g07nKDsQc",5,"Dale Earnhardt Jr. and family have emotional initial reaction to NASCAR HOF nod | Motorsports on NBC - YouTube",1920,1080,747,"2020-06-18","UC1QQAUSQX4DF9XXne54oCgQ",-1,96,315130,4.91717,0,"2021-06-11 01:05:13","",2.806613,"UC1QQAUSQX4DF9XXne54oCgQ","Motorsports on NBC","LC",94,27,"positive",3.48148148148148,"URBAN","joy","politics",-1549.35874384236,809.233084975369,632.810640394089
"600","Lindsey Graham","dJ7Y1aZmIdc","x_g07nKDsQc",5,"The Scene Vault Podcast -- Ward Burton Part 1 - YouTube",1920,1080,1699,"2021-02-10","UCMekJ7X3IIHe_x72OuOKNFg",293,2,16088,4.9728813,0,"2021-06-11 01:05:20","",6.66693,"UCMekJ7X3IIHe_x72OuOKNFg","","",158,38,"positive",4.15789473684211,"URBAN","joy","politics",-4440.1400804829,2233.13184439973,1743.78762351889
"601","Lindsey Graham","bqcrH1z4yKM","x_g07nKDsQc",5,"Trent’s First Round With His New Swing - Trent Breaking 100 Series, Episode 2 - YouTube",1280,720,2546,"2021-06-10","UCw3LGiL_bYbWrgpQ7w7QZrw",426,6,3879,4.9444447,0,"2021-06-11 01:05:23","",2.765494,"UCw3LGiL_bYbWrgpQ7w7QZrw","","",368,126,"positive",2.92063492063492,"ENVIRONMENT","sadness","politics",-4592.55709656513,2311.22624108879,1803.80148628213
"602","Lindsey Graham","D7yw5CaMB7A","GVA_uk6KW8k",5,"Dale Jr. & Kerry Earnhardt: We Were Little Sh*ts To Each Other - YouTube",1920,1080,643,"2021-05-28","UCB2r6UX0EJn-i1cgMVqbirg",-1,49,209792,4.9613109,0,"2021-06-11 01:05:28","",2.381576,"UCB2r6UX0EJn-i1cgMVqbirg","Dale Earnhardt Jr.'s Dirty Mo Media","",75,27,"positive",2.77777777777778,"VALUES","joy","politics",-2063.01763466042,1064.01874004684,831.402388758782
"603","Lindsey Graham","Q6_GPYkykBQ","GVA_uk6KW8k",5,"Kelley Earnhardt talks growing up in the Earnhardt family | Coffee with Kyle | Motorsports on NBC - YouTube",1920,1080,1487,"2019-07-18","UC1QQAUSQX4DF9XXne54oCgQ",-1,192,563992,4.886508,0,"2021-06-11 01:05:31","",3.069366,"UC1QQAUSQX4DF9XXne54oCgQ","Motorsports on NBC","LC",171,62,"positive",2.75806451612903,"URBAN","joy","politics",-4808.23471062422,2415.83658329888,1885.8056097561
"604","Lindsey Graham","3YF9qwovaVY","GVA_uk6KW8k",5,"Dale Jr. Download: '98 Daytona 500 Tell-All with Larry McReynolds - YouTube",480,360,1965,"2021-02-11","UCB2r6UX0EJn-i1cgMVqbirg",-1,90,321273,4.9409642,0,"2021-06-11 01:05:36","",2.61984,"UCB2r6UX0EJn-i1cgMVqbirg","Dale Earnhardt Jr.'s Dirty Mo Media","",231,120,"positive",1.925,"URBAN","joy","politics",-6206.25433698101,3103.86199066624,2422.63803990988
