keyword,video,parent_video,current_depth,title,width,height,duration,pubdate,channel,likes,dislikes,viewes,rating,reco_count,fetch_time,reco_list,elapsed
cultural appropriation,ZpRY1p14nAg,HWSf71C0TJY,4,Issa & Lawrence: You Did This..for What? - YouTube,1920,1080,947,2020-06-06,UCaZ8Nik2OV2r7vZm8Xsi3mQ,-1,14,25450,4.9624915,5,2021-05-04 05:55:57,"VtZFRvbrzaw,ZXNW_OA2S24,HjxEmdkecnQ,l-aNvEPM5NU,UmIcDJwICnc",2.297408
cultural appropriation,VtZFRvbrzaw,ZpRY1p14nAg,5,The Real...Needs Work. - YouTube,1920,1080,909,2020-02-12,UCaZ8Nik2OV2r7vZm8Xsi3mQ,-1,183,179820,4.9283128,0,2021-05-04 05:56:04,,6.045127
cultural appropriation,ZXNW_OA2S24,ZpRY1p14nAg,5,Here's Why People Can't Stand Black Media Outlets - YouTube,1920,1080,943,2020-03-04,UCaZ8Nik2OV2r7vZm8Xsi3mQ,-1,488,396334,4.9319625,0,2021-05-04 05:56:10,,6.718244
cultural appropriation,HjxEmdkecnQ,ZpRY1p14nAg,5,The 'Femme Fatale' Is Not That Revolutionary. - YouTube,1920,1080,1432,2021-03-29,UCVjsbqKtxkLt7bal4NWRjJQ,-1,222,435217,4.9783993,0,2021-05-04 05:56:13,,2.403079
cultural appropriation,l-aNvEPM5NU,ZpRY1p14nAg,5,I Rewatched Girlfriends as an Adult And... - YouTube,1920,1080,947,2020-10-03,UCaZ8Nik2OV2r7vZm8Xsi3mQ,-1,213,277525,4.9604106,0,2021-05-04 05:56:15,,2.329332
cultural appropriation,UmIcDJwICnc,ZpRY1p14nAg,5,Bring Euphoria Back NOW-My S2 Predictions - YouTube,1920,1080,940,2020-08-24,UCaZ8Nik2OV2r7vZm8Xsi3mQ,-1,62,91924,4.9720974,0,2021-05-04 05:56:26,,10.522523
cultural appropriation,HjxEmdkecnQ,HWSf71C0TJY,4,The 'Femme Fatale' Is Not That Revolutionary. - YouTube,1920,1080,1432,2021-03-29,UCVjsbqKtxkLt7bal4NWRjJQ,-1,222,435217,4.9783993,5,2021-05-04 05:56:28,"FDEOZqnJMqI,byybf63-eTI,GgEuy2adICg,Lt960JoBAvY,T0JCOzVpkhE",2.425613
cultural appropriation,FDEOZqnJMqI,HjxEmdkecnQ,5,how hollywood demonizes ultra-femininity. - YouTube,-1,-1,814,2021-02-22,,-1,-1,-1,-1.0,0,2021-05-04 05:56:33,,4.557493
cultural appropriation,byybf63-eTI,HjxEmdkecnQ,5,I'm done with Mean Girl Feminism (an Ayesha Curry rant) - YouTube,1920,1080,1239,2019-05-09,UCilNETwoyWx5lJTmzE4p7HQ,-1,522,266354,4.8626494,0,2021-05-04 05:56:35,,2.383242
cultural appropriation,GgEuy2adICg,HjxEmdkecnQ,5,We Owe Megan Fox an Apology - YouTube,480,360,1686,2020-10-27,UCyDOJSj9HqE0YVs5kZE8V9w,815,4,7360,4.980464,0,2021-05-04 05:56:40,,4.881713
cultural appropriation,Lt960JoBAvY,HjxEmdkecnQ,5,Rue & Jules: WTF IS WE DOIN?! - YouTube,1920,1080,947,2021-02-01,UCaZ8Nik2OV2r7vZm8Xsi3mQ,-1,87,210003,4.9826493,0,2021-05-04 05:56:42,,2.343211
cultural appropriation,T0JCOzVpkhE,HjxEmdkecnQ,5,The Culture of 'Coming Out' - YouTube,1920,1080,1419,2021-03-08,UCaZ8Nik2OV2r7vZm8Xsi3mQ,-1,424,414167,4.9646792,0,2021-05-04 05:56:45,,2.373839
cultural appropriation,3dJ7_7VpR6k,HWSf71C0TJY,4,Black Women are DONE Playing Nice. - YouTube,1920,1080,845,2020-08-28,UCilNETwoyWx5lJTmzE4p7HQ,-1,211,157931,4.9539428,5,2021-05-04 05:56:49,"ZXNW_OA2S24,Ro9n2RktH8k,2jVhy19RRg8,dLVDVuTAm5g,e3Ob37u3kEk",4.818282
cultural appropriation,ZXNW_OA2S24,3dJ7_7VpR6k,5,Here's Why People Can't Stand Black Media Outlets - YouTube,1920,1080,943,2020-03-04,UCaZ8Nik2OV2r7vZm8Xsi3mQ,-1,488,396334,4.9319625,0,2021-05-04 05:56:55,,5.079864
cultural appropriation,Ro9n2RktH8k,3dJ7_7VpR6k,5,PLEASE Let Me Be a Basic B in Peace. - YouTube,1920,1080,849,2020-08-19,UCaZ8Nik2OV2r7vZm8Xsi3mQ,-1,223,469647,4.9828062,0,2021-05-04 05:56:57,,2.324521
cultural appropriation,2jVhy19RRg8,3dJ7_7VpR6k,5,"When ""Allies"" Pass Their Place.. - YouTube",1920,1080,791,2020-08-10,UCaZ8Nik2OV2r7vZm8Xsi3mQ,-1,-1,858153,4.9144602,0,2021-05-04 05:56:59,,2.298969
cultural appropriation,dLVDVuTAm5g,3dJ7_7VpR6k,5,Black Women Wear Weaves Because They're POSSESSED? | 'BAD HAIR' Review - YouTube,1920,1080,1155,2020-10-31,UCaZ8Nik2OV2r7vZm8Xsi3mQ,-1,283,271108,4.9563928,0,2021-05-04 05:57:02,,2.493507
cultural appropriation,e3Ob37u3kEk,3dJ7_7VpR6k,5,"Don't Be Shy, Just Say You're Jealous :) - YouTube",1920,1080,734,2020-07-10,UCaZ8Nik2OV2r7vZm8Xsi3mQ,-1,478,414537,4.9523478,0,2021-05-04 05:57:04,,2.41258
cultural appropriation,T0JCOzVpkhE,HWSf71C0TJY,4,The Culture of 'Coming Out' - YouTube,1920,1080,1419,2021-03-08,UCaZ8Nik2OV2r7vZm8Xsi3mQ,-1,424,414167,4.9646792,5,2021-05-04 05:57:07,"3umRD7SOUNw,IrsrLAAvcoo,L2KvWP5_Q9k,HjxEmdkecnQ,Ro9n2RktH8k",2.433944
cultural appropriation,3umRD7SOUNw,T0JCOzVpkhE,5,Performative Bisexuality: Y'all Not Tired? - YouTube,1920,1080,882,2020-11-22,UCaZ8Nik2OV2r7vZm8Xsi3mQ,-1,907,1162775,4.9713945,0,2021-05-04 05:57:09,,2.445915
cultural appropriation,IrsrLAAvcoo,T0JCOzVpkhE,5,"My TRUTH, My STORY - Dominique Jackson - YouTube",1920,1080,1219,2015-11-18,,-1,-1,744232,4.9609957,0,2021-05-04 05:57:13,,4.051004
cultural appropriation,L2KvWP5_Q9k,T0JCOzVpkhE,5,Liberation vs Assimilation in Queer Cinema - YouTube,1280,720,1553,2019-08-21,UCniXurp_3xcDh923eiqGX3w,-1,214,302090,4.9545116,0,2021-05-04 05:57:16,,2.488089
cultural appropriation,HjxEmdkecnQ,T0JCOzVpkhE,5,The 'Femme Fatale' Is Not That Revolutionary. - YouTube,1920,1080,1432,2021-03-29,UCVjsbqKtxkLt7bal4NWRjJQ,-1,222,435217,4.9783993,0,2021-05-04 05:57:18,,2.409847
cultural appropriation,Ro9n2RktH8k,T0JCOzVpkhE,5,PLEASE Let Me Be a Basic B in Peace. - YouTube,1920,1080,849,2020-08-19,UCaZ8Nik2OV2r7vZm8Xsi3mQ,-1,223,469647,4.9828062,0,2021-05-04 05:57:21,,2.774609
cultural appropriation,7NIq8BfDJiQ,TWsa7aSKgn8,3,Shaving My Head Cuz That's My Business. - YouTube,1920,1080,767,2020-06-13,UCaZ8Nik2OV2r7vZm8Xsi3mQ,-1,-1,228235,4.9723582,5,2021-05-04 05:57:31,"VOgKI4QNGlU,ZpRY1p14nAg,0LVe9CELws4,FRDNt5D407M,HjxEmdkecnQ",10.423517
cultural appropriation,VOgKI4QNGlU,7NIq8BfDJiQ,4,"The ""Blaccent"": Nonblack Creators' Key to Fame - YouTube",1920,1080,809,2020-05-28,UCaZ8Nik2OV2r7vZm8Xsi3mQ,-1,-1,1308916,4.9331985,5,2021-05-04 05:57:36,"Gwll_a3XphU,ZXNW_OA2S24,5IBzSNAew8c,IIiG2Zsp3R0,HjxEmdkecnQ",4.501686
cultural appropriation,Gwll_a3XphU,VOgKI4QNGlU,5,Grown-ish...Needs Work. - YouTube,-1,-1,1048,2020-03-20,,-1,-1,-1,-1.0,0,2021-05-04 05:57:41,,4.95851
cultural appropriation,ZXNW_OA2S24,VOgKI4QNGlU,5,Here's Why People Can't Stand Black Media Outlets - YouTube,1920,1080,943,2020-03-04,UCaZ8Nik2OV2r7vZm8Xsi3mQ,-1,488,396334,4.9319625,0,2021-05-04 05:57:46,,5.042114
cultural appropriation,5IBzSNAew8c,VOgKI4QNGlU,5,Little Fires Everywhere: an ADDICTIVE HOT MESS - YouTube,1920,1080,811,2020-05-14,UCaZ8Nik2OV2r7vZm8Xsi3mQ,-1,26,49497,4.9722371,0,2021-05-04 05:57:48,,2.361783
cultural appropriation,IIiG2Zsp3R0,VOgKI4QNGlU,5,Stars of the 2000's Who Deserved Better - YouTube,1920,1080,1543,2020-03-27,UCIXOLFcVJI-KhICZNfRw19g,-1,74,118894,4.9554753,0,2021-05-04 05:57:51,,2.384161
cultural appropriation,HjxEmdkecnQ,VOgKI4QNGlU,5,The 'Femme Fatale' Is Not That Revolutionary. - YouTube,1920,1080,1432,2021-03-29,UCVjsbqKtxkLt7bal4NWRjJQ,-1,222,435217,4.9783993,0,2021-05-04 05:57:53,,2.834037
cultural appropriation,ZpRY1p14nAg,7NIq8BfDJiQ,4,Issa & Lawrence: You Did This..for What? - YouTube,1920,1080,947,2020-06-06,UCaZ8Nik2OV2r7vZm8Xsi3mQ,-1,14,25450,4.9624915,5,2021-05-04 05:57:56,"VtZFRvbrzaw,ZXNW_OA2S24,HjxEmdkecnQ,UmIcDJwICnc,KF4gfN0Pm60",2.226763
cultural appropriation,VtZFRvbrzaw,ZpRY1p14nAg,5,The Real...Needs Work. - YouTube,1920,1080,909,2020-02-12,UCaZ8Nik2OV2r7vZm8Xsi3mQ,-1,183,179820,4.9283128,0,2021-05-04 05:58:01,,5.575455
cultural appropriation,ZXNW_OA2S24,ZpRY1p14nAg,5,Here's Why People Can't Stand Black Media Outlets - YouTube,1920,1080,943,2020-03-04,UCaZ8Nik2OV2r7vZm8Xsi3mQ,-1,488,396334,4.9319625,0,2021-05-04 05:58:07,,5.281974
cultural appropriation,HjxEmdkecnQ,ZpRY1p14nAg,5,The 'Femme Fatale' Is Not That Revolutionary. - YouTube,1920,1080,1432,2021-03-29,UCVjsbqKtxkLt7bal4NWRjJQ,-1,222,435217,4.9783993,0,2021-05-04 05:58:09,,2.4501
cultural appropriation,UmIcDJwICnc,ZpRY1p14nAg,5,Bring Euphoria Back NOW-My S2 Predictions - YouTube,1920,1080,940,2020-08-24,UCaZ8Nik2OV2r7vZm8Xsi3mQ,-1,62,91924,4.9720974,0,2021-05-04 05:58:13,,4.136859
cultural appropriation,KF4gfN0Pm60,ZpRY1p14nAg,5,Insecure Season 4 (S04E08): Issa and Lawrence discuss their breakup - YouTube,480,360,290,2020-06-12,UCyyjNZtZaunfP4eK3XNraJA,-1,10,83701,4.9717712,0,2021-05-04 05:58:15,,1.971179
cultural appropriation,0LVe9CELws4,7NIq8BfDJiQ,4,"The ""Token Fat Friend"" Role: Let's Talk. - YouTube",1920,1080,527,2020-05-18,UCaZ8Nik2OV2r7vZm8Xsi3mQ,-1,87,198141,4.9800482,5,2021-05-04 05:58:21,"IIiG2Zsp3R0,ZXNW_OA2S24,avw4TYJL8L8,HjxEmdkecnQ,WHCFs_jWuNQ",5.719691
