keyword,video,parent_video,current_depth,title,width,height,duration,pubdate,channel,likes,dislikes,viewes,rating,reco_count,fetch_time,reco_list,elapsed
 free speech,jCJdl6Vs7wg,8zV3vIXZ-1Y,4,"How meditation can change your life and mind | Sam Harris, Jon Kabat-Zinn & more | Big Think - YouTube",1920,1080,1646,2020-08-07,UCvQECJukTDE2i6aCoMnS-Vg,-1,153,324474,4.9434328,5,2021-05-05 00:35:33,"XOET9n8wnmo,8zV3vIXZ-1Y,Iwac6Uk-zyk,KEMsXYcSdPM,fajfkO_X0l0",2.342382
 free speech,XOET9n8wnmo,jCJdl6Vs7wg,5,Sam Harris: Can Psychedelics Help You Expand Your Mind? | Big Think - YouTube,1920,1080,540,2014-10-30,UCvQECJukTDE2i6aCoMnS-Vg,-1,305,625553,4.9215889,0,2021-05-05 00:35:35,,2.462729
 free speech,8zV3vIXZ-1Y,jCJdl6Vs7wg,5,Sam Harris: On Interpreting Scripture | Big Think - YouTube,-1,-1,407,2011-07-07,,-1,-1,-1,-1.0,0,2021-05-05 00:35:39,,4.112099
 free speech,Iwac6Uk-zyk,jCJdl6Vs7wg,5,"Sam Harris: Mindfulness is Powerful, But Keep Religion Out of It | Big Think - YouTube",480,360,418,2014-10-01,UCvQECJukTDE2i6aCoMnS-Vg,-1,434,487170,4.876318,0,2021-05-05 00:35:42,,2.261175
 free speech,KEMsXYcSdPM,jCJdl6Vs7wg,5,"Mindfulness: How to Feel Comfortable in Your Own Skin, with Jon Kabat-Zinn | Big Think - YouTube",1920,1080,422,2015-12-05,UCvQECJukTDE2i6aCoMnS-Vg,-1,121,160009,4.9074745,0,2021-05-05 00:35:44,,2.265996
 free speech,fajfkO_X0l0,jCJdl6Vs7wg,5,Sam Harris: The Self is an Illusion | Big Think - YouTube,1920,1080,413,2014-09-16,UCvQECJukTDE2i6aCoMnS-Vg,-1,-1,1956097,4.76088,0,2021-05-05 00:35:46,,2.46054
 free speech,l0TzeH6Zmog,8zV3vIXZ-1Y,4,"What is the ‘self’? The 3 layers of your identity. | Sam Harris, Mark Epstein & more | Big Think - YouTube",1920,1080,700,2021-01-22,UCvQECJukTDE2i6aCoMnS-Vg,-1,94,88773,4.8853307,5,2021-05-05 00:35:49,"mabjJJDqjFM,i3-dxHavRe8,NCBiEkHSy5k,jCJdl6Vs7wg,StzNlYXnCm4",2.686582
 free speech,mabjJJDqjFM,l0TzeH6Zmog,5,Philosophies of Self: East-West Distinctions | Gish Jen  | Big Think - YouTube,1920,1080,225,2017-03-12,UCvQECJukTDE2i6aCoMnS-Vg,-1,84,51370,4.7859874,0,2021-05-05 00:35:51,,2.32736
 free speech,i3-dxHavRe8,l0TzeH6Zmog,5,Mindful Self-Acceptance? Bad Idea According to Ancient Chinese Philosophers. | Michael Puett - YouTube,1920,1080,358,2016-04-16,UCvQECJukTDE2i6aCoMnS-Vg,-1,555,172555,4.6322069,0,2021-05-05 00:35:56,,4.519062
 free speech,NCBiEkHSy5k,l0TzeH6Zmog,5,"Why Your Self-Image Might Be Wrong: Ego, Buddhism, and Freud | Mark Epstein | Big Think - YouTube",1920,1080,213,2018-01-16,UCvQECJukTDE2i6aCoMnS-Vg,-1,204,148316,4.8346171,0,2021-05-05 00:35:59,,2.91183
